Date : 2022-04-23 11:52:28
Directory : /Users/danielspaude/code/boxtribute/boxtribute/react
Total : 146 files,  -5657 codes, -1498 comments, -1446 blanks, all -8601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/user.py                      | Python             |        -40 |          0 |         -5 |        -45 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/definitions/x_beneficiary_language.py    | Python             |        -24 |          0 |         -4 |        -28 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/fields.py                                | Python             |        -16 |        -33 |        -12 |        -61 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/metrics.py                               | Python             |       -113 |        -26 |        -18 |       -157 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/models/utils.py                                 | Python             |         -3 |         -4 |         -3 |        -10 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/boxtribute_server/routes.py                                       | Python             |        -69 |         -9 |        -22 |       -100 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/gunicorn.conf.py                                                  | Python             |         -4 |         -4 |         -1 |         -9 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/init.sql                                                          | SQL                |     -1,180 |       -282 |       -188 |     -1,650 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/requirements.txt                                                  | pip requirements   |        -10 |          0 |         -1 |        -11 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/scripts/list_models.py                                            | Python             |        -27 |         -8 |        -10 |        -45 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/scripts/load-test.js                                              | JavaScript         |        -37 |        -43 |        -10 |        -90 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/setup.cfg                                                         | Properties         |        -25 |          0 |         -6 |        -31 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/setup.py                                                          | Python             |        -14 |         -1 |         -3 |        -18 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/auth.py                                                      | Python             |        -74 |        -17 |        -16 |       -107 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/auth_tests/__init__.py                                       | Python             |          0 |          0 |         -1 |         -1 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/auth_tests/test_auth.py                                      | Python             |        -15 |          0 |         -9 |        -24 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/auth_tests/test_authz.py                                     | Python             |        -82 |          0 |        -17 |        -99 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/conftest.py                                                  | Python             |        -68 |        -47 |        -22 |       -137 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/__init__.py                                             | Python             |       -152 |        -14 |        -14 |       -180 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/base.py                                                 | Python             |        -42 |          0 |         -9 |        -51 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/beneficiary.py                                          | Python             |        -65 |         -2 |        -16 |        -83 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/box.py                                                  | Python             |        -90 |          0 |        -32 |       -122 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/box_state.py                                            | Python             |        -12 |          0 |         -9 |        -21 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/history.py                                              | Python             |        -10 |          0 |         -7 |        -17 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/language.py                                             | Python             |         -6 |          0 |         -5 |        -11 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/location.py                                             | Python             |        -54 |          0 |        -19 |        -73 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/log.py                                                  | Python             |        -10 |          0 |         -7 |        -17 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/organisation.py                                         | Python             |        -21 |          0 |         -9 |        -30 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/product.py                                              | Python             |        -35 |          0 |        -13 |        -48 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/product_category.py                                     | Python             |        -16 |          0 |         -9 |        -25 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/product_gender.py                                       | Python             |        -12 |          0 |         -9 |        -21 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/qr_code.py                                              | Python             |        -17 |          0 |        -11 |        -28 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/shipment.py                                             | Python             |        -61 |          0 |        -15 |        -76 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/shipment_detail.py                                      | Python             |        -56 |          0 |        -12 |        -68 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/size.py                                                 | Python             |        -15 |          0 |        -11 |        -26 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/size_range.py                                           | Python             |        -10 |          0 |         -7 |        -17 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/transaction.py                                          | Python             |        -39 |         -1 |        -14 |        -54 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/transfer_agreement.py                                   | Python             |        -62 |          0 |        -17 |        -79 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/transfer_agreement_detail.py                            | Python             |        -20 |          0 |         -8 |        -28 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/data/user.py                                                 | Python             |        -70 |          0 |        -20 |        -90 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/__init__.py                                   | Python             |          0 |          0 |         -1 |         -1 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/conftest.py                                   | Python             |        -13 |        -10 |         -6 |        -29 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_app.py                                   | Python             |        -96 |        -29 |        -18 |       -143 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_base.py                                  | Python             |        -23 |        -15 |        -10 |        -48 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_beneficiary.py                           | Python             |       -189 |       -108 |        -21 |       -318 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_box.py                                   | Python             |        -83 |        -61 |        -13 |       -157 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_location.py                              | Python             |        -19 |        -17 |         -5 |        -41 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_metrics.py                               | Python             |       -123 |         -3 |        -14 |       -140 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_organisation.py                          | Python             |        -13 |         -6 |         -5 |        -24 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_permissions.py                           | Python             |       -175 |        -66 |        -39 |       -280 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_product.py                               | Python             |        -19 |        -14 |         -5 |        -38 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_product_categories.py                    | Python             |        -16 |        -14 |         -5 |        -35 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_qr.py                                    | Python             |        -41 |        -20 |        -14 |        -75 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_shipment.py                              | Python             |       -483 |       -175 |        -66 |       -724 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_simple.py                                | Python             |        -13 |          0 |         -5 |        -18 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_transfer_agreement.py                    | Python             |       -167 |        -83 |        -27 |       -277 |
