"filename", "language", "XML", "TypeScript React", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "Ignore", "YAML", "Markdown", "Docker", "Python", "GraphQL", "pip requirements", "Properties", "SQL", "comment", "blank", "total"
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_transfer_agreement.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -167, 0, 0, 0, 0, -83, -27, -277
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, -12, -7, -37
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/conftest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, -5, -5, -22
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/test_jwt.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, -7, -13, -81
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/test_operations.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, -29, -19, -117
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/model_tests/conftest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, -5, -4, -22
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/model_tests/test_all.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -46, 0, 0, 0, 0, -4, -14, -64
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/model_tests/test_crud.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, -13, -17, -115
"/Users/danielspaude/code/boxtribute/boxtribute/back/test/utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, -25, -14, -72
"/Users/danielspaude/code/boxtribute/boxtribute/react/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/danielspaude/code/boxtribute/boxtribute/react/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/danielspaude/code/boxtribute/boxtribute/react/.prettierrc", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/danielspaude/code/boxtribute/boxtribute/react/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 4, 14
"/Users/danielspaude/code/boxtribute/boxtribute/react/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 26, 63
"/Users/danielspaude/code/boxtribute/boxtribute/react/codegen.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/danielspaude/code/boxtribute/boxtribute/react/craco.config.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"/Users/danielspaude/code/boxtribute/boxtribute/react/package.json", "JSON", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/danielspaude/code/boxtribute/boxtribute/react/src/ApolloWrapper.tsx", "TypeScript React", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 63
"/Users/danielspaude/code/boxtribute/boxtribute/react/src/App.tsx", "TypeScript React", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"/Users/danielspaude/code/boxtribute/boxtribute/react/src/Auth0ProviderWithHistory.tsx", "TypeScript React", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 33
"/Users/danielspaude/code/boxtribute/boxtribute/react/src/GlobalPreferencesProvider.tsx", "TypeScript React", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52
"/Users/danielspaude/code/boxtribute/boxtribute/react/src/Layout.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/danielspaude/code/boxtribute/boxtribute/react/src/components/HeaderMenu.tsx", "TypeScript React", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 162
"/Users/danielspaude/code/boxtribute/boxtribute/react/src/generated/graphql.tsx", "TypeScript React", 0, 558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 126, 877
